dataset,model,fold,train_rows,test_rows,train_start,test_start,test_end,elapsed_s,accuracy,f1_macro,auc_roc,sharpe_proxy,max_drawdown
dataset_basic_daily,DT,1,1303,261,2014-01-02,2019-01-01,2019-12-31,0.12,0.5287356321839081,0.5277373229180458,0.535904255319149,1.0018359507665042,-0.0278879789563326
dataset_basic_daily,DT,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.15,0.4809160305343511,0.4801587301587301,0.4805620608899297,-0.0380982283400175,-0.0708096403087751
dataset_basic_daily,DT,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.19,0.5440613026819924,0.5413682609530279,0.5502827854365501,-0.2546039625096165,-0.0874772348837708
dataset_basic_daily,DT,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.21,0.5461538461538461,0.5457237621416726,0.5457777777777778,-0.8953923378406627,-0.1474456168052594
dataset_basic_daily,DT,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.25,0.5230769230769231,0.520780070158749,0.5230769230769231,-0.0138091886741026,-0.0598982085189301
dataset_basic_daily,DT,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.28,0.475095785440613,0.4497653304608756,0.4642983386355602,0.3049988206118735,-0.0448297061713377
dataset_basic_daily,ET,1,1303,261,2014-01-02,2019-01-01,2019-12-31,0.21,0.4980842911877394,0.4700795089970707,0.5644503546099291,0.1789897834510924,-0.0958791186706582
dataset_basic_daily,ET,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.22,0.5572519083969466,0.5505471753918959,0.5848946135831381,-0.1652232794811225,-0.1074820652941102
dataset_basic_daily,ET,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.24,0.5057471264367817,0.5047001191579505,0.5402085542594558,-0.4235801375216416,-0.0866763100093322
dataset_basic_daily,ET,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.25,0.5461538461538461,0.5351515151515152,0.5855703703703704,-0.4192150467832577,-0.1899444900177846
dataset_basic_daily,ET,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.27,0.5346153846153846,0.5174772619211951,0.5839053254437868,0.6726522046728145,-0.0459822738299052
dataset_basic_daily,ET,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.29,0.5938697318007663,0.5825386286817962,0.6447802521503476,-0.012870499911764,-0.0290014839597506
dataset_basic_daily,HGB,1,1303,261,2014-01-02,2019-01-01,2019-12-31,0.77,0.5210727969348659,0.4924311962288221,0.6091607565011821,-0.5105097643617312,-0.1178859066737952
dataset_basic_daily,HGB,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.78,0.6526717557251909,0.6508354934610372,0.6830210772833724,-0.2920645741996889,-0.1306995667772968
dataset_basic_daily,HGB,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.82,0.5977011494252874,0.5974884335756775,0.620831860492518,-0.0433219751237311,-0.0492184349055414
dataset_basic_daily,HGB,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.83,0.5692307692307692,0.5679781615334402,0.6279703703703703,0.1577825660020617,-0.1141438554959568
dataset_basic_daily,HGB,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.82,0.6269230769230769,0.6264755105970171,0.6856804733727812,0.122125000049061,-0.0460354026464698
dataset_basic_daily,HGB,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.82,0.6206896551724138,0.6206005432787607,0.6788028749852716,1.238496032710844,-0.0292362518360491
dataset_basic_daily,CatBoost,1,1303,261,2014-01-02,2019-01-01,2019-12-31,1.94,0.5440613026819924,0.541882384176291,0.6225768321513002,0.5530282719763124,-0.0685223161000593
dataset_basic_daily,CatBoost,2,1564,262,2014-01-02,2020-01-01,2020-12-31,1.38,0.6068702290076335,0.6061760284867854,0.631791569086651,0.5872871662981975,-0.0998358917120068
dataset_basic_daily,CatBoost,3,1826,261,2014-01-02,2021-01-01,2021-12-31,1.39,0.578544061302682,0.578537874339401,0.6313184870979145,-1.138127745745684,-0.0890047163759571
dataset_basic_daily,CatBoost,4,2087,260,2014-01-02,2022-01-03,2022-12-30,1.42,0.6307692307692307,0.6299810246679317,0.6527407407407408,-0.4703834671579755,-0.1377437247797134
dataset_basic_daily,CatBoost,5,2347,260,2014-01-02,2023-01-02,2023-12-29,1.44,0.5769230769230769,0.5738721020323023,0.6136094674556213,0.2391611939303009,-0.0587679770981425
dataset_basic_daily,CatBoost,final,2607,261,2014-01-02,2024-01-01,2024-12-30,1.49,0.632183908045977,0.6282051282051282,0.6732649935195004,-0.6580052610381716,-0.0463329609245742
dataset_basic_daily,Bagging_DT,1,1303,261,2014-01-02,2019-01-01,2019-12-31,3.68,0.6053639846743295,0.6045280021183635,0.6329787234042552,0.5989409899152917,-0.0491644267412101
dataset_basic_daily,Bagging_DT,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.47,0.5572519083969466,0.5571486856676575,0.6259953161592506,-1.1399090061309052,-0.1313207258490405
dataset_basic_daily,Bagging_DT,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.53,0.5555555555555556,0.5536619884420333,0.5862495581477555,-1.0498267926356435,-0.0793221463153281
dataset_basic_daily,Bagging_DT,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.58,0.6307692307692307,0.6299810246679317,0.6671407407407407,-0.6687213682566889,-0.1608573060254033
dataset_basic_daily,Bagging_DT,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.64,0.5923076923076923,0.591921345652689,0.6063905325443787,0.1839311909702773,-0.042234717459417
dataset_basic_daily,Bagging_DT,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.7,0.5823754789272031,0.572330542234783,0.6835748792270532,-0.7537351848172698,-0.0409571191253447
dataset_basic_daily,Bagging_LR,1,1303,261,2014-01-02,2019-01-01,2019-12-31,3.22,0.7088122605363985,0.7087737843551798,0.8087470449172578,0.5095242133004858,-0.070503957930495
dataset_basic_daily,Bagging_LR,2,1564,262,2014-01-02,2020-01-01,2020-12-31,4.06,0.7786259541984732,0.7743659796875928,0.8423887587822014,0.3464398300333042,-0.0745021160841517
dataset_basic_daily,Bagging_LR,3,1826,261,2014-01-02,2021-01-01,2021-12-31,6.05,0.6819923371647509,0.6602681721947776,0.8105926711441028,-1.363239432274724,-0.0646715764279103
dataset_basic_daily,Bagging_LR,4,2087,260,2014-01-02,2022-01-03,2022-12-30,6.35,0.7923076923076923,0.784331797235023,0.9034074074074074,-0.901387931833482,-0.1187045703575765
dataset_basic_daily,Bagging_LR,5,2347,260,2014-01-02,2023-01-02,2023-12-29,5.86,0.7230769230769231,0.7115384615384616,0.8820118343195266,0.6023619373145103,-0.0461834722053839
dataset_basic_daily,Bagging_LR,final,2607,261,2014-01-02,2024-01-01,2024-12-30,6.44,0.6743295019157088,0.6561584600362673,0.869329562860846,-0.8711888394728554,-0.0370443724575615
dataset_basic_daily,XGB,1,1303,261,2014-01-02,2019-01-01,2019-12-31,1.46,0.6053639846743295,0.5985514821175241,0.6378841607565012,0.7387129214289878,-0.0744793386807367
dataset_basic_daily,XGB,2,1564,262,2014-01-02,2020-01-01,2020-12-31,1.32,0.6717557251908397,0.6661332385016596,0.7062646370023419,-0.5721236102690763,-0.1306995667772968
dataset_basic_daily,XGB,3,1826,261,2014-01-02,2021-01-01,2021-12-31,1.42,0.5900383141762452,0.5894356154716927,0.636797454931071,-1.144600366667554,-0.0775726664453589
dataset_basic_daily,XGB,4,2087,260,2014-01-02,2022-01-03,2022-12-30,1.47,0.6153846153846154,0.6152935606060606,0.6497185185185185,-0.0272645718702524,-0.1766066319580113
dataset_basic_daily,XGB,5,2347,260,2014-01-02,2023-01-02,2023-12-29,1.35,0.6346153846153846,0.6306321125749578,0.6493491124260355,0.6852912807374677,-0.0357120104323235
dataset_basic_daily,XGB,final,2607,261,2014-01-02,2024-01-01,2024-12-30,1.31,0.6130268199233716,0.6078457624849378,0.6564156945917285,1.278495896043861,-0.0187596440668496
dataset_basic_daily,LGBM,1,1303,261,2014-01-02,2019-01-01,2019-12-31,1.12,0.5977011494252874,0.5880248342628644,0.6491725768321512,0.5427209971959657,-0.0764840135663009
dataset_basic_daily,LGBM,2,1564,262,2014-01-02,2020-01-01,2020-12-31,0.66,0.6793893129770993,0.6793706293706294,0.7313231850117096,-0.1706764415303072,-0.1306995667772968
dataset_basic_daily,LGBM,3,1826,261,2014-01-02,2021-01-01,2021-12-31,0.63,0.5977011494252874,0.5961835997937082,0.6015081889949333,-1.1991424327465394,-0.0703380794232152
dataset_basic_daily,LGBM,4,2087,260,2014-01-02,2022-01-03,2022-12-30,0.67,0.5538461538461539,0.5469838981014179,0.6216296296296296,-0.6890409718690219,-0.2027643873876194
dataset_basic_daily,LGBM,5,2347,260,2014-01-02,2023-01-02,2023-12-29,0.72,0.6153846153846154,0.6018132810585641,0.6910059171597633,0.9233621138669,-0.0473556855139207
