date,USA_SP500_open,USA_SP500_high,USA_SP500_low,USA_SP500_close,USA_SP500_volume,USA_SP500_volume_sqrt,USA_NASDAQ_COMPOSITE_open,USA_NASDAQ_COMPOSITE_high,USA_NASDAQ_COMPOSITE_low,USA_NASDAQ_COMPOSITE_close,USA_NASDAQ_COMPOSITE_volume,USA_NASDAQ_COMPOSITE_volume_sqrt,USA_NASDAQ100_open,USA_NASDAQ100_high,USA_NASDAQ100_low,USA_NASDAQ100_close,USA_NASDAQ100_volume,USA_NASDAQ100_volume_sqrt,USA_RUSSELL2000_open,USA_RUSSELL2000_high,USA_RUSSELL2000_low,USA_RUSSELL2000_close,USA_RUSSELL2000_volume,USA_RUSSELL2000_volume_sqrt,USA_DJI_open,USA_DJI_high,USA_DJI_low,USA_DJI_close,USA_DJI_volume,USA_DJI_volume_sqrt,UK_FTSE100_open,UK_FTSE100_high,UK_FTSE100_low,UK_FTSE100_close,UK_FTSE100_volume,UK_FTSE100_volume_sqrt,UK_FTSE250_open,UK_FTSE250_high,UK_FTSE250_low,UK_FTSE250_close,UK_FTSE250_volume,UK_FTSE250_volume_sqrt,UK_FTSE350_open,UK_FTSE350_high,UK_FTSE350_low,UK_FTSE350_close,UK_FTSE350_volume,UK_FTSE350_volume_sqrt,UK_FTSE_ALL_SHARE_open,UK_FTSE_ALL_SHARE_high,UK_FTSE_ALL_SHARE_low,UK_FTSE_ALL_SHARE_close,UK_FTSE_ALL_SHARE_volume,UK_FTSE_ALL_SHARE_volume_sqrt
2023-05-01,4166.7900390625,4186.919921875,4164.1201171875,4167.8701171875,3321370000.0,57631.32828592449,12210.0498046875,12261.3203125,12181.080078125,12212.599609375,5168430000.0,71891.79369023978,13229.1103515625,13287.4697265625,13186.400390625,13231.4697265625,5168430000.0,71891.79369023978,1765.449951171875,1785.199951171875,1764.3199462890625,1769.2099609375,3321370000.0,57631.32828592449,34116.80859375,34257.828125,34030.140625,34051.69921875,244190000.0,15626.579920123277,7870.60009765625,7898.7001953125,7773.0,7773.0,1020657900.0,31947.73700905903,19425.099609375,19553.900390625,19314.19921875,19314.19921875,232927800.0,15261.972349601476,4330.0,4345.89990234375,4280.39990234375,4280.39990234375,125358600.0,11196.365481708785,4283.830078125,4299.490234375,4235.669921875,4235.669921875,135482100.0,11639.677830593078
2023-05-02,4164.10009765625,4164.10009765625,4089.719970703125,4119.580078125,4486130000.0,66978.57866512248,12198.01953125,12206.580078125,12015.23046875,12080.509765625,5501410000.0,74171.49047983329,13225.48046875,13241.5302734375,13046.7900390625,13113.66015625,5501410000.0,74171.49047983329,1761.1500244140625,1761.1500244140625,1716.219970703125,1732.1099853515625,4486130000.0,66978.57866512248,34017.62109375,34017.75,33436.66015625,33684.53125,274460000.0,16566.834338521043,7773.0,7819.7001953125,7773.0,7788.39990234375,967192800.0,31099.72347143942,19314.19921875,19433.5,19311.0,19365.599609375,257279300.0,16039.928304079167,4280.39990234375,4304.5,4280.2998046875,4289.2001953125,122447200.0,11065.586292646223,4235.669921875,4259.0400390625,4235.6298828125,4244.2900390625,135646800.0,11646.750619808085
2023-05-03,4122.25,4148.2998046875,4088.860107421875,4090.75,4246510000.0,65165.25147653464,12097.0400390625,12212.5498046875,12022.4599609375,12025.330078125,5782160000.0,76040.51551640086,13123.099609375,13231.7099609375,13026.0400390625,13030.2099609375,5782160000.0,76040.51551640086,1735.68994140625,1767.699951171875,1735.68994140625,1739.280029296875,4246510000.0,65165.25147653464,33726.640625,33811.83984375,33396.05078125,33414.23828125,286900000.0,16938.122682280937,7788.39990234375,7788.39990234375,7691.2998046875,7702.60009765625,776321800.0,27862.551929067802,19365.599609375,19390.69921875,19220.30078125,19244.900390625,289806500.0,17023.7040622774,4289.2001953125,4289.2001953125,4238.7998046875,4244.89990234375,106612800.0,10325.347451780981,4244.2900390625,4244.2900390625,4195.169921875,4201.22998046875,116521700.0,10794.52175874411
2023-05-04,4082.550048828125,4082.610107421875,4048.280029296875,4061.219970703125,4920090000.0,70143.35321325892,11997.33984375,12033.150390625,11925.3701171875,11966.400390625,4745780000.0,68889.62185989991,13014.0703125,13064.01953125,12938.4501953125,12982.48046875,4745780000.0,68889.62185989991,1727.239990234375,1728.3900146484375,1704.8199462890625,1718.81005859375,4920090000.0,70143.35321325892,33347.78125,33354.859375,32937.5,33127.73828125,305160000.0,17468.82938264611,7702.60009765625,7781.5,7702.60009765625,7778.39990234375,608277200.0,24663.2763435842,19244.900390625,19459.30078125,19237.900390625,19452.5,221230500.0,14873.819280870666,4244.89990234375,4288.60009765625,4244.7998046875,4287.2001953125,82950800.0,9107.732978079672,4201.22998046875,4243.93994140625,4201.1201171875,4242.39990234375,91382400.0,9559.414207994128
2023-05-05,4084.72998046875,4147.02001953125,4084.72998046875,4136.25,4186270000.0,64701.39102059553,12073.0302734375,12264.830078125,12065.7197265625,12235.41015625,4574790000.0,67637.19390985998,13070.7001953125,13291.1103515625,13059.91015625,13259.1298828125,4574790000.0,67637.19390985998,1742.52001953125,1763.780029296875,1742.52001953125,1759.8800048828125,4186270000.0,64701.39102059553,33248.55078125,33748.4296875,33248.55078125,33674.37890625,316350000.0,17786.230629337966,7702.60009765625,7781.5,7702.60009765625,7778.39990234375,608277200.0,24663.2763435842,19244.900390625,19459.30078125,19237.900390625,19452.5,221230500.0,14873.819280870666,4244.89990234375,4288.60009765625,4244.7998046875,4287.2001953125,82950800.0,9107.732978079672,4201.22998046875,4243.93994140625,4201.1201171875,4242.39990234375,91382400.0,9559.414207994128
2023-05-08,4136.97998046875,4142.2998046875,4123.81005859375,4138.1201171875,3641640000.0,60346.002353097094,12231.6796875,12264.990234375,12178.259765625,12256.919921875,4216360000.0,64933.50444878206,13247.08984375,13302.4296875,13193.080078125,13291.6396484375,4216360000.0,64933.50444878206,1766.4200439453125,1768.2099609375,1748.3199462890625,1754.469970703125,3641640000.0,60346.002353097094,33715.1484375,33747.48828125,33509.23046875,33618.69140625,225680000.0,15022.649566571137,7778.39990234375,7792.39990234375,7735.10009765625,7764.10009765625,951320100.0,30843.47743040658,19452.5,19465.900390625,19233.19921875,19277.0,307009200.0,17521.678001835327,4287.2001953125,4293.39990234375,4260.2001953125,4275.0,125832900.0,11217.526465313109,4242.39990234375,4248.509765625,4216.39990234375,4231.1201171875,151917400.0,12325.477678370116
2023-05-09,4124.25,4130.35009765625,4116.64990234375,4119.169921875,3810140000.0,61726.33149637195,12195.7802734375,12216.1298828125,12174.0595703125,12179.5498046875,4126780000.0,64240.01867994747,13228.6396484375,13254.8095703125,13193.8798828125,13201.1103515625,4126780000.0,64240.01867994747,1747.43994140625,1756.0899658203125,1737.699951171875,1749.6800537109375,3810140000.0,61726.33149637195,33589.8515625,33656.3984375,33509.71875,33561.80859375,232940000.0,15262.372030585548,7764.10009765625,7779.0,7727.10009765625,7741.2998046875,712870600.0,26699.636701648207,19277.0,19316.19921875,19226.0,19273.30078125,277644300.0,16662.66185217716,4275.0,4282.7001953125,4256.7001953125,4264.10009765625,99051500.0,9952.46200696089,4231.1201171875,4238.490234375,4213.2001953125,4220.419921875,118514700.0,10886.445700962275
2023-05-10,4143.740234375,4154.27978515625,4098.919921875,4137.64013671875,4057160000.0,63695.83973855749,12286.66015625,12337.6904296875,12180.8603515625,12306.4404296875,4948260000.0,70343.86966893419,13308.41015625,13384.419921875,13204.7900390625,13347.830078125,4948260000.0,70343.86966893419,1769.5799560546875,1772.9300537109375,1743.6300048828125,1759.510009765625,4057160000.0,63695.83973855749,33707.19921875,33772.08984375,33239.44921875,33531.328125,271180000.0,16467.543836285968,7741.2998046875,7784.2998046875,7679.60009765625,7730.60009765625,883996400.0,29732.076954023916,19273.30078125,19330.599609375,19169.400390625,19266.30078125,291320200.0,17068.104757119345,4264.10009765625,4285.89990234375,4231.89990234375,4258.7998046875,117531700.0,10841.203807695896,4220.419921875,4241.4599609375,4189.080078125,4215.22021484375,127637200.0,11297.663475250092
2023-05-11,4132.240234375,4132.7998046875,4109.2900390625,4130.6201171875,3752900000.0,61260.91739437143,12321.259765625,12347.3798828125,12255.4404296875,12328.509765625,4489490000.0,67003.65661663549,13376.849609375,13411.7001953125,13306.080078125,13389.7802734375,4489490000.0,67003.65661663549,1748.8900146484375,1749.43994140625,1736.8399658203125,1744.7099609375,3752900000.0,61260.91739437143,33383.890625,33389.87890625,33127.69921875,33309.51171875,298000000.0,17262.676501632068,7730.60009765625,7772.7998046875,7729.0,7754.60009765625,748114500.0,27351.681849568227,19266.30078125,19303.80078125,19188.400390625,19188.400390625,207944500.0,14420.280857181666,4258.7998046875,4279.0,4258.0,4267.7001953125,95605900.0,9777.826956947029,4215.22021484375,4234.81982421875,4214.4599609375,4224.06005859375,103365700.0,10166.892347221938
2023-05-12,4138.5400390625,4143.740234375,4099.1201171875,4124.080078125,3533740000.0,59445.26894547622,12350.51953125,12364.650390625,12209.580078125,12284.740234375,4170000000.0,64575.53716385176,13407.01953125,13427.419921875,13256.5595703125,13340.1796875,4170000000.0,64575.53716385176,1748.1400146484375,1753.22998046875,1731.3399658203125,1740.8499755859375,3533740000.0,59445.26894547622,33370.578125,33406.3984375,33110.609375,33300.62109375,227570000.0,15085.423427932012,7730.60009765625,7772.7998046875,7729.0,7754.60009765625,748114500.0,27351.681849568227,19266.30078125,19303.80078125,19188.400390625,19188.400390625,207944500.0,14420.280857181666,4258.7998046875,4279.0,4258.0,4267.7001953125,95605900.0,9777.826956947029,4215.22021484375,4234.81982421875,4214.4599609375,4224.06005859375,103365700.0,10166.892347221938
