date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2017-11-01,246.373,19.0,103.8,20,2.1805652303711787,19.0,2.874132804757168,20.0,1.0557509956209503
2017-11-02,246.373,20.0,103.8,21,2.1805652303711787,20.0,2.874132804757168,21.0,1.0557509956209503
2017-11-03,246.373,21.0,103.8,22,2.1805652303711787,21.0,2.874132804757168,22.0,1.0557509956209503
2017-11-06,246.373,24.0,103.8,25,2.1805652303711787,24.0,2.874132804757168,25.0,1.0557509956209503
2017-11-07,246.373,25.0,103.8,26,2.1805652303711787,25.0,2.874132804757168,26.0,1.0557509956209503
2017-11-08,246.373,26.0,103.8,27,2.1805652303711787,26.0,2.874132804757168,27.0,1.0557509956209503
2017-11-09,246.373,27.0,103.8,28,2.1805652303711787,27.0,2.874132804757168,28.0,1.0557509956209503
2017-11-10,246.373,28.0,103.8,29,2.1805652303711787,28.0,2.874132804757168,29.0,1.0557509956209503
2017-11-13,246.373,31.0,104.1,2,2.1805652303711787,31.0,2.9673590504450953,2.0,1.0876723486297724
2017-11-14,246.373,32.0,104.1,3,2.1805652303711787,32.0,2.9673590504450953,3.0,1.0876723486297724
2017-11-15,246.639,0.0,104.1,4,2.020757753132485,0.0,2.9673590504450953,4.0,1.0876723486297724
2017-11-16,246.639,1.0,104.1,5,2.020757753132485,1.0,2.9673590504450953,5.0,1.0876723486297724
2017-11-17,246.639,2.0,104.1,6,2.020757753132485,2.0,2.9673590504450953,6.0,1.0876723486297724
2017-11-20,246.639,5.0,104.1,9,2.020757753132485,5.0,2.9673590504450953,9.0,1.0876723486297724
2017-11-21,246.639,6.0,104.1,10,2.020757753132485,6.0,2.9673590504450953,10.0,1.0876723486297724
2017-11-22,246.639,7.0,104.1,11,2.020757753132485,7.0,2.9673590504450953,11.0,1.0876723486297724
2017-11-23,246.639,8.0,104.1,12,2.020757753132485,8.0,2.9673590504450953,12.0,1.0876723486297724
2017-11-24,246.639,9.0,104.1,13,2.020757753132485,9.0,2.9673590504450953,13.0,1.0876723486297724
2017-11-27,246.639,12.0,104.1,16,2.020757753132485,12.0,2.9673590504450953,16.0,1.0876723486297724
2017-11-28,246.639,13.0,104.1,17,2.020757753132485,13.0,2.9673590504450953,17.0,1.0876723486297724
2017-11-29,246.639,14.0,104.1,18,2.020757753132485,14.0,2.9673590504450953,18.0,1.0876723486297724
2017-11-30,246.639,15.0,104.1,19,2.020757753132485,15.0,2.9673590504450953,19.0,1.0876723486297724
2017-12-01,246.639,16.0,104.1,20,2.020757753132485,16.0,2.9673590504450953,20.0,1.0876723486297724
2017-12-04,246.639,19.0,104.1,23,2.020757753132485,19.0,2.9673590504450953,23.0,1.0876723486297724
2017-12-05,246.639,20.0,104.1,24,2.020757753132485,20.0,2.9673590504450953,24.0,1.0876723486297724
2017-12-06,246.639,21.0,104.1,25,2.020757753132485,21.0,2.9673590504450953,25.0,1.0876723486297724
2017-12-07,246.639,22.0,104.1,26,2.020757753132485,22.0,2.9673590504450953,26.0,1.0876723486297724
2017-12-08,246.639,23.0,104.1,27,2.020757753132485,23.0,2.9673590504450953,27.0,1.0876723486297724
2017-12-11,246.639,26.0,104.1,30,2.020757753132485,26.0,2.9673590504450953,30.0,1.0876723486297724
2017-12-12,246.639,27.0,104.2,0,2.020757753132485,27.0,2.964426877470361,0.0,1.0866837178028377
2017-12-13,247.592,0.0,104.2,1,2.172493864295566,0.0,2.964426877470361,1.0,1.0866837178028377
2017-12-14,247.592,1.0,104.2,2,2.172493864295566,1.0,2.964426877470361,2.0,1.0866837178028377
2017-12-15,247.592,2.0,104.2,3,2.172493864295566,2.0,2.964426877470361,3.0,1.0866837178028377
2017-12-18,247.592,5.0,104.2,6,2.172493864295566,5.0,2.964426877470361,6.0,1.0866837178028377
2017-12-19,247.592,6.0,104.2,7,2.172493864295566,6.0,2.964426877470361,7.0,1.0866837178028377
2017-12-20,247.592,7.0,104.2,8,2.172493864295566,7.0,2.964426877470361,8.0,1.0866837178028377
2017-12-21,247.592,8.0,104.2,9,2.172493864295566,8.0,2.964426877470361,9.0,1.0866837178028377
2017-12-22,247.592,9.0,104.2,10,2.172493864295566,9.0,2.964426877470361,10.0,1.0866837178028377
2017-12-25,247.592,12.0,104.2,13,2.172493864295566,12.0,2.964426877470361,13.0,1.0866837178028377
2017-12-26,247.592,13.0,104.2,14,2.172493864295566,13.0,2.964426877470361,14.0,1.0866837178028377
2017-12-27,247.592,14.0,104.2,15,2.172493864295566,14.0,2.964426877470361,15.0,1.0866837178028377
2017-12-28,247.592,15.0,104.2,16,2.172493864295566,15.0,2.964426877470361,16.0,1.0866837178028377
