date,USA_central_bank_rate_value,USA_central_bank_rate_days_since_update,UK_central_bank_rate_value,UK_central_bank_rate_days_since_update,UK_central_bank_rate_value_sqrt,USA_central_bank_rate_value_sqrt
2021-05-07,0.06,0.0,0.0486,23.0,0.220454076850486,0.2449489742783178
2021-05-10,0.06,0.0,0.0486,26.0,0.220454076850486,0.2449489742783178
2021-05-11,0.06,0.0,0.0486,27.0,0.220454076850486,0.2449489742783178
2021-05-12,0.06,0.0,0.05,0.0,0.22360679774997896,0.2449489742783178
2021-05-13,0.06,0.0,0.05,1.0,0.22360679774997896,0.2449489742783178
2021-05-14,0.06,0.0,0.05,2.0,0.22360679774997896,0.2449489742783178
2021-05-17,0.06,0.0,0.05,5.0,0.22360679774997896,0.2449489742783178
2021-05-18,0.06,0.0,0.05,6.0,0.22360679774997896,0.2449489742783178
2021-05-19,0.06,0.0,0.05,7.0,0.22360679774997896,0.2449489742783178
2021-05-20,0.06,0.0,0.05,8.0,0.22360679774997896,0.2449489742783178
2021-05-21,0.06,0.0,0.05,9.0,0.22360679774997896,0.2449489742783178
2021-05-24,0.06,0.0,0.05,12.0,0.22360679774997896,0.2449489742783178
2021-05-25,0.06,0.0,0.05,13.0,0.22360679774997896,0.2449489742783178
2021-05-26,0.06,0.0,0.05,14.0,0.22360679774997896,0.2449489742783178
2021-05-27,0.06,0.0,0.05,15.0,0.22360679774997896,0.2449489742783178
2021-05-28,0.06,0.0,0.05,16.0,0.22360679774997896,0.2449489742783178
2021-05-31,0.06,3.0,0.05,19.0,0.22360679774997896,0.2449489742783178
2021-06-01,0.05,0.0,0.05,20.0,0.22360679774997896,0.22360679774997896
2021-06-02,0.06,0.0,0.05,21.0,0.22360679774997896,0.2449489742783178
2021-06-03,0.06,0.0,0.05,22.0,0.22360679774997896,0.2449489742783178
2021-06-04,0.06,0.0,0.05,23.0,0.22360679774997896,0.2449489742783178
2021-06-07,0.06,0.0,0.05,26.0,0.22360679774997896,0.2449489742783178
2021-06-08,0.06,0.0,0.05,27.0,0.22360679774997896,0.2449489742783178
2021-06-09,0.06,0.0,0.05,28.0,0.22360679774997896,0.2449489742783178
2021-06-10,0.06,0.0,0.0486,0.0,0.220454076850486,0.2449489742783178
2021-06-11,0.06,0.0,0.0486,1.0,0.220454076850486,0.2449489742783178
2021-06-14,0.06,0.0,0.0486,4.0,0.220454076850486,0.2449489742783178
2021-06-15,0.06,0.0,0.0486,5.0,0.220454076850486,0.2449489742783178
2021-06-16,0.06,0.0,0.0486,6.0,0.220454076850486,0.2449489742783178
2021-06-17,0.06,0.0,0.0486,7.0,0.220454076850486,0.2449489742783178
2021-06-18,0.06,1.0,0.0486,8.0,0.220454076850486,0.2449489742783178
2021-06-21,0.1,0.0,0.0486,11.0,0.220454076850486,0.31622776601683794
2021-06-22,0.1,0.0,0.0486,12.0,0.220454076850486,0.31622776601683794
2021-06-23,0.1,0.0,0.0486,13.0,0.220454076850486,0.31622776601683794
2021-06-24,0.1,0.0,0.0486,14.0,0.220454076850486,0.31622776601683794
2021-06-25,0.1,0.0,0.0486,15.0,0.220454076850486,0.31622776601683794
2021-06-28,0.1,0.0,0.0486,18.0,0.220454076850486,0.31622776601683794
2021-06-29,0.1,0.0,0.0486,19.0,0.220454076850486,0.31622776601683794
2021-06-30,0.1,0.0,0.0486,20.0,0.220454076850486,0.31622776601683794
2021-07-01,0.08,0.0,0.0486,21.0,0.220454076850486,0.282842712474619
2021-07-02,0.1,0.0,0.0486,22.0,0.220454076850486,0.31622776601683794
2021-07-05,0.1,3.0,0.0486,25.0,0.220454076850486,0.31622776601683794
2021-07-06,0.1,0.0,0.0486,26.0,0.220454076850486,0.31622776601683794
2021-07-07,0.1,0.0,0.0486,27.0,0.220454076850486,0.31622776601683794
2021-07-08,0.1,0.0,0.0486,28.0,0.220454076850486,0.31622776601683794
2021-07-09,0.1,0.0,0.0486,29.0,0.220454076850486,0.31622776601683794
2021-07-12,0.1,0.0,0.0486,32.0,0.220454076850486,0.31622776601683794
2021-07-13,0.1,0.0,0.0498,0.0,0.22315913604421397,0.31622776601683794
2021-07-14,0.1,0.0,0.0498,1.0,0.22315913604421397,0.31622776601683794
2021-07-15,0.1,0.0,0.0498,2.0,0.22315913604421397,0.31622776601683794
2021-07-16,0.1,0.0,0.0498,3.0,0.22315913604421397,0.31622776601683794
2021-07-19,0.1,0.0,0.0498,6.0,0.22315913604421397,0.31622776601683794
2021-07-20,0.1,0.0,0.0498,7.0,0.22315913604421397,0.31622776601683794
2021-07-21,0.1,0.0,0.0498,8.0,0.22315913604421397,0.31622776601683794
2021-07-22,0.1,0.0,0.0498,9.0,0.22315913604421397,0.31622776601683794
2021-07-23,0.1,0.0,0.0498,10.0,0.22315913604421397,0.31622776601683794
2021-07-26,0.1,0.0,0.0498,13.0,0.22315913604421397,0.31622776601683794
2021-07-27,0.1,0.0,0.0498,14.0,0.22315913604421397,0.31622776601683794
2021-07-28,0.1,0.0,0.0498,15.0,0.22315913604421397,0.31622776601683794
2021-07-29,0.1,0.0,0.0498,16.0,0.22315913604421397,0.31622776601683794
2021-07-30,0.1,0.0,0.0498,17.0,0.22315913604421397,0.31622776601683794
2021-08-02,0.07,0.0,0.0498,20.0,0.22315913604421397,0.2645751311064591
2021-08-03,0.1,0.0,0.0498,21.0,0.22315913604421397,0.31622776601683794
2021-08-04,0.1,0.0,0.0498,22.0,0.22315913604421397,0.31622776601683794
2021-08-05,0.1,0.0,0.0498,23.0,0.22315913604421397,0.31622776601683794
2021-08-06,0.1,0.0,0.0498,24.0,0.22315913604421397,0.31622776601683794
2021-08-09,0.1,0.0,0.0498,27.0,0.22315913604421397,0.31622776601683794
2021-08-10,0.1,0.0,0.0498,28.0,0.22315913604421397,0.31622776601683794
2021-08-11,0.1,0.0,0.0498,29.0,0.22315913604421397,0.31622776601683794
2021-08-12,0.1,0.0,0.0506,0.0,0.22494443758403984,0.31622776601683794
2021-08-13,0.1,0.0,0.0506,1.0,0.22494443758403984,0.31622776601683794
2021-08-16,0.1,0.0,0.0506,4.0,0.22494443758403984,0.31622776601683794
2021-08-17,0.1,0.0,0.0506,5.0,0.22494443758403984,0.31622776601683794
2021-08-18,0.1,0.0,0.0506,6.0,0.22494443758403984,0.31622776601683794
2021-08-19,0.09,0.0,0.0506,7.0,0.22494443758403984,0.3
2021-08-20,0.09,0.0,0.0506,8.0,0.22494443758403984,0.3
2021-08-23,0.09,0.0,0.0506,11.0,0.22494443758403984,0.3
2021-08-24,0.09,0.0,0.0506,12.0,0.22494443758403984,0.3
2021-08-25,0.09,0.0,0.0506,13.0,0.22494443758403984,0.3
2021-08-26,0.09,0.0,0.0506,14.0,0.22494443758403984,0.3
2021-08-27,0.09,0.0,0.0506,15.0,0.22494443758403984,0.3
2021-08-30,0.08,0.0,0.0506,18.0,0.22494443758403984,0.282842712474619
2021-08-31,0.08,0.0,0.0506,19.0,0.22494443758403984,0.282842712474619
2021-09-01,0.06,0.0,0.0506,20.0,0.22494443758403984,0.2449489742783178
2021-09-02,0.08,0.0,0.0506,21.0,0.22494443758403984,0.282842712474619
2021-09-03,0.08,0.0,0.0506,22.0,0.22494443758403984,0.282842712474619
2021-09-06,0.08,3.0,0.0506,25.0,0.22494443758403984,0.282842712474619
2021-09-07,0.08,0.0,0.0506,26.0,0.22494443758403984,0.282842712474619
2021-09-08,0.08,0.0,0.0506,27.0,0.22494443758403984,0.282842712474619
2021-09-09,0.08,0.0,0.0506,28.0,0.22494443758403984,0.282842712474619
2021-09-10,0.08,0.0,0.0506,29.0,0.22494443758403984,0.282842712474619
2021-09-13,0.08,0.0,0.0506,32.0,0.22494443758403984,0.282842712474619
2021-09-14,0.08,0.0,0.0506,33.0,0.22494443758403984,0.282842712474619
2021-09-15,0.08,0.0,0.0504,0.0,0.22449944320643647,0.282842712474619
