date,realtime_start,value
2019-04-01,2023-09-28,21384.775
2019-01-01,2023-09-28,21104.133
2018-10-01,2023-09-28,20917.867
2018-07-01,2023-09-28,20798.73
2018-04-01,2023-09-28,20580.912
2018-01-01,2023-09-28,20328.553
2019-10-01,2023-09-28,21902.39
2017-07-01,2023-09-28,19692.595
2017-04-01,2023-09-28,19438.643
2017-01-01,2023-09-28,19280.084
2016-10-01,2023-09-28,19089.379
2016-07-01,2023-09-28,18892.639
2015-07-01,2023-09-28,18401.626
2016-04-01,2023-09-28,18711.702
2016-01-01,2023-09-28,18525.933
2015-10-01,2023-09-28,18435.137
2017-10-01,2023-09-28,20037.088
2023-07-01,2023-10-26,27623.543
2023-07-01,2023-11-29,27644.463
2023-07-01,2023-12-21,27610.128
2018-10-01,2024-01-09,20917.867
2018-07-01,2024-01-09,20798.73
2018-04-01,2024-01-09,20580.912
2018-01-01,2024-01-09,20328.553
2017-10-01,2024-01-09,20037.088
2017-07-01,2024-01-09,19692.595
2017-04-01,2024-01-09,19438.643
2017-01-01,2024-01-09,19280.084
2016-10-01,2024-01-09,19089.379
2016-07-01,2024-01-09,18892.639
2016-04-01,2024-01-09,18711.702
2016-01-01,2024-01-09,18525.933
2015-10-01,2024-01-09,18435.137
2015-07-01,2024-01-09,18401.626
2015-04-01,2024-01-09,18279.784
2019-01-01,2024-01-09,21104.133
2019-04-01,2024-01-09,21384.775
2019-07-01,2024-01-09,21694.282
2019-10-01,2024-01-09,21902.39
2023-07-01,2024-01-09,27610.128
2023-04-01,2024-01-09,27063.012
2023-01-01,2024-01-09,26813.601
2022-10-01,2024-01-09,26408.405
2022-07-01,2024-01-09,25994.639
2022-04-01,2024-01-09,25544.273
2015-01-01,2024-01-09,18063.529
2022-01-01,2024-01-09,25029.116
2021-07-01,2024-01-09,23828.973
2021-04-01,2024-01-09,23292.362
2021-01-01,2024-01-09,22600.185
2020-10-01,2024-01-09,22024.502
2020-07-01,2024-01-09,21647.64
2020-04-01,2024-01-09,19913.143
2020-01-01,2024-01-09,21706.513
2021-10-01,2024-01-09,24654.603
2014-10-01,2024-01-09,17912.079
2014-07-01,2024-01-09,17804.228
2014-04-01,2024-01-09,17518.508
2014-01-01,2024-01-09,17197.738
2023-10-01,2024-01-25,27938.831
2023-10-01,2024-02-28,27944.627
2023-10-01,2024-03-28,27956.998
2024-01-01,2024-04-25,28284.498
2024-01-01,2024-05-30,28255.928
2024-01-01,2024-06-27,28269.174
2024-04-01,2024-07-25,28629.153
2024-04-01,2024-08-29,28652.337
2023-07-01,2024-09-26,27967.697
2023-04-01,2024-09-26,27453.815
2023-10-01,2024-09-26,28296.967
2022-04-01,2024-09-26,25805.791
2023-01-01,2024-09-26,27164.359
2022-10-01,2024-09-26,26734.277
2024-01-01,2024-09-26,28624.069
2022-07-01,2024-09-26,26272.011
2024-04-01,2024-09-26,29016.714
2020-07-01,2024-09-26,21684.551
2021-01-01,2024-09-26,22656.793
2019-07-01,2024-09-26,21717.171
2019-10-01,2024-09-26,21933.217
2020-01-01,2024-09-26,21727.657
2020-04-01,2024-09-26,19935.444
2020-10-01,2024-09-26,22068.767
2019-04-01,2024-09-26,21397.938
2021-04-01,2024-09-26,23368.861
2019-01-01,2024-09-26,21111.6
2021-07-01,2024-09-26,23921.991
2022-01-01,2024-09-26,25215.491
2021-10-01,2024-09-26,24777.038
2024-07-01,2024-10-30,29349.924
2024-07-01,2024-11-27,29354.321
2024-07-01,2024-12-19,29374.914
2024-10-01,2025-01-30,29700.58
2024-10-01,2025-02-27,29719.647
2024-10-01,2025-03-27,29723.864
2025-01-01,2025-04-30,29977.632
2025-01-01,2025-05-29,29976.638
2025-01-01,2025-06-26,29962.047
2025-04-01,2025-07-30,30331.117
2025-04-01,2025-08-28,30353.902
2024-04-01,2025-09-25,29147.044
2024-07-01,2025-09-25,29511.664
2025-01-01,2025-09-25,30042.113
2024-10-01,2025-09-25,29825.182
2025-04-01,2025-09-25,30485.729
2022-04-01,2025-09-25,25861.292
2024-01-01,2025-09-25,28708.161
2020-01-01,2025-09-25,21751.238
2021-10-01,2025-09-25,24813.6
2022-07-01,2025-09-25,26336.304
2021-07-01,2025-09-25,23982.379
2022-10-01,2025-09-25,26770.514
2022-01-01,2025-09-25,25250.347
2023-01-01,2025-09-25,27216.445
2021-01-01,2025-09-25,22680.693
2021-04-01,2025-09-25,23425.91
2023-07-01,2025-09-25,28074.846
2020-10-01,2025-09-25,22087.16
2020-07-01,2025-09-25,21704.437
2020-04-01,2025-09-25,19958.291
2023-10-01,2025-09-25,28424.722
2023-04-01,2025-09-25,27530.055
2025-07-01,2025-12-23,31095.089
2025-07-01,2026-01-22,31098.027
2025-10-01,2026-02-20,31490.07
2025-10-01,2026-03-13,31442.483
2025-10-01,2026-04-09,31422.526
2026-01-01,2026-04-30,31856.257
2026-01-01,2026-05-28,31819.464
