date,realtime_start,value
2014-03-01,2021-01-08,236.028
2014-02-01,2021-01-08,235.547
2014-01-01,2021-01-08,235.288
2016-04-01,2021-01-08,238.835
2016-05-01,2021-01-08,239.44
2016-06-01,2021-01-08,240.144
2016-07-01,2021-01-08,240.111
2018-12-01,2021-01-08,252.653
2019-01-01,2021-01-08,252.55
2019-02-01,2021-01-08,253.181
2019-03-01,2021-01-08,254.095
2019-04-01,2021-01-08,254.943
2019-05-01,2021-01-08,255.167
2019-06-01,2021-01-08,255.402
2019-07-01,2021-01-08,256.087
2019-08-01,2021-01-08,256.294
2019-09-01,2021-01-08,256.593
2019-10-01,2021-01-08,257.229
2018-11-01,2021-01-08,252.662
2019-11-01,2021-01-08,257.824
2020-01-01,2021-01-08,258.82
2020-02-01,2021-01-08,259.05
2020-03-01,2021-01-08,257.953
2020-04-01,2021-01-08,255.902
2020-05-01,2021-01-08,255.768
2020-06-01,2021-01-08,257.214
2020-07-01,2021-01-08,258.723
2020-08-01,2021-01-08,259.681
2020-09-01,2021-01-08,260.209
2020-10-01,2021-01-08,260.325
2019-12-01,2021-01-08,258.444
2018-10-01,2021-01-08,252.777
2018-08-01,2021-01-08,251.905
2016-08-01,2021-01-08,240.595
2016-09-01,2021-01-08,241.068
2016-10-01,2021-01-08,241.641
2016-11-01,2021-01-08,241.993
2016-12-01,2021-01-08,242.712
2017-01-01,2021-01-08,243.717
2017-02-01,2021-01-08,244.028
2017-03-01,2021-01-08,243.721
2017-04-01,2021-01-08,244.058
2017-05-01,2021-01-08,243.926
2017-06-01,2021-01-08,244.179
2018-09-01,2021-01-08,252.261
2017-07-01,2021-01-08,244.328
2017-09-01,2021-01-08,246.445
2017-10-01,2021-01-08,246.57
2017-11-01,2021-01-08,247.333
2017-12-01,2021-01-08,247.847
2018-01-01,2021-01-08,248.816
2018-02-01,2021-01-08,249.475
2018-03-01,2021-01-08,249.413
2018-04-01,2021-01-08,249.957
2018-05-01,2021-01-08,250.64
2018-06-01,2021-01-08,251.176
2018-07-01,2021-01-08,251.482
2017-08-01,2021-01-08,245.304
2020-12-01,2021-01-13,261.775
2020-04-01,2021-02-08,256.192
2018-12-01,2021-02-08,252.493
2019-06-01,2021-02-08,255.423
2019-07-01,2021-02-08,255.925
2019-11-01,2021-02-08,257.989
2018-07-01,2021-02-08,251.345
2019-03-01,2021-02-08,254.147
2018-11-01,2021-02-08,252.822
2020-03-01,2021-02-08,257.989
2020-01-01,2021-02-08,258.687
2019-01-01,2021-02-08,252.441
2018-08-01,2021-02-08,251.735
2019-08-01,2021-02-08,256.118
2019-12-01,2021-02-08,258.203
2019-02-01,2021-02-08,252.969
2020-02-01,2021-02-08,258.824
2018-10-01,2021-02-08,252.899
2018-09-01,2021-02-08,252.183
2019-09-01,2021-02-08,256.532
2019-10-01,2021-02-08,257.387
2019-04-01,2021-02-08,255.326
2017-05-01,2021-02-08,244.069
2020-05-01,2021-02-08,255.942
2017-04-01,2021-02-08,244.274
2017-03-01,2021-02-08,243.766
2017-02-01,2021-02-08,243.872
2017-01-01,2021-02-08,243.62
2016-12-01,2021-02-08,242.637
2016-11-01,2021-02-08,242.026
2016-10-01,2021-02-08,241.741
2018-06-01,2021-02-08,251.152
2016-09-01,2021-02-08,241.176
2016-07-01,2021-02-08,240.101
2016-06-01,2021-02-08,240.222
2016-05-01,2021-02-08,239.557
2016-04-01,2021-02-08,238.992
2016-03-01,2021-02-08,238.08
2016-02-01,2021-02-08,237.336
2016-01-01,2021-02-08,237.652
2016-08-01,2021-02-08,240.545
2017-06-01,2021-02-08,244.218
2019-05-01,2021-02-08,255.371
2017-07-01,2021-02-08,244.28
2018-05-01,2021-02-08,250.786
2020-06-01,2021-02-08,257.282
2018-04-01,2021-02-08,250.275
2020-07-01,2021-02-08,258.604
2018-03-01,2021-02-08,249.517
2020-08-01,2021-02-08,259.511
2018-02-01,2021-02-08,249.3
2018-01-01,2021-02-08,248.721
2020-09-01,2021-02-08,260.149
2017-12-01,2021-02-08,247.736
2020-10-01,2021-02-08,260.462
2017-10-01,2021-02-08,246.657
2020-11-01,2021-02-08,260.927
2017-09-01,2021-02-08,246.551
2017-08-01,2021-02-08,245.205
2020-12-01,2021-02-08,261.56
2017-11-01,2021-02-08,247.378
2021-01-01,2021-02-10,262.231
2021-02-01,2021-03-10,263.161
2021-03-01,2021-04-13,264.793
2021-04-01,2021-05-12,266.832
2021-05-01,2021-06-10,268.551
2021-06-01,2021-07-13,270.981
2021-07-01,2021-08-11,272.265
2021-08-01,2021-09-14,273.012
2021-09-01,2021-10-13,274.138
2021-10-01,2021-11-10,276.724
2021-11-01,2021-12-10,278.88
2021-12-01,2022-01-12,280.192
2020-10-01,2022-02-08,260.352
2017-10-01,2022-02-08,246.626
2017-11-01,2022-02-08,247.284
2021-10-01,2022-02-08,276.59
2020-09-01,2022-02-08,260.19
2017-12-01,2022-02-08,247.805
2018-01-01,2022-02-08,248.743
2020-05-01,2022-02-08,255.944
2020-07-01,2022-02-08,258.543
2018-03-01,2022-02-08,249.581
2021-11-01,2022-02-08,278.524
2020-06-01,2022-02-08,257.217
2018-04-01,2022-02-08,250.146
2019-05-01,2022-02-08,255.325
2018-05-01,2022-02-08,250.779
2020-08-01,2022-02-08,259.58
2018-02-01,2022-02-08,249.439
2020-11-01,2022-02-08,260.721
2021-09-01,2022-02-08,274.214
2021-06-01,2022-02-08,270.955
2021-07-01,2022-02-08,272.184
2021-05-01,2022-02-08,268.599
2017-01-01,2022-02-08,243.618
2021-04-01,2022-02-08,266.727
2017-03-01,2022-02-08,243.892
2021-03-01,2022-02-08,265.028
2017-09-01,2022-02-08,246.435
2017-04-01,2022-02-08,244.193
2021-02-01,2022-02-08,263.346
2017-05-01,2022-02-08,244.004
2021-01-01,2022-02-08,262.2
2017-06-01,2022-02-08,244.163
2020-12-01,2022-02-08,261.564
2017-07-01,2022-02-08,244.243
2017-08-01,2022-02-08,245.183
2021-08-01,2022-02-08,273.092
2020-04-01,2022-02-08,256.094
2017-02-01,2022-02-08,244.006
2018-11-01,2022-02-08,252.657
2019-10-01,2022-02-08,257.305
2018-10-01,2022-02-08,252.862
2019-12-01,2022-02-08,258.263
2018-12-01,2022-02-08,252.551
2019-09-01,2022-02-08,256.596
2018-09-01,2022-02-08,252.239
2020-01-01,2022-02-08,258.682
2019-01-01,2022-02-08,252.47
2019-11-01,2022-02-08,257.788
2018-08-01,2022-02-08,251.749
2019-08-01,2022-02-08,256.179
2020-02-01,2022-02-08,259.007
2019-07-01,2022-02-08,255.9
2019-03-01,2022-02-08,254.273
2019-06-01,2022-02-08,255.361
2018-07-01,2022-02-08,251.323
2020-03-01,2022-02-08,258.165
2019-04-01,2022-02-08,255.163
2021-12-01,2022-02-08,280.126
2019-02-01,2022-02-08,253.135
2018-06-01,2022-02-08,251.118
2022-01-01,2022-02-10,281.933
2022-02-01,2022-03-10,284.182
2022-03-01,2022-04-12,287.708
2022-04-01,2022-05-11,288.663
2022-05-01,2022-06-10,291.474
2022-06-01,2022-07-13,295.328
2022-07-01,2022-08-10,295.271
2022-08-01,2022-09-13,295.62
2022-09-01,2022-10-13,296.761
2022-10-01,2022-11-10,298.062
2022-11-01,2022-12-13,298.349
2022-12-01,2023-01-12,298.112
2022-12-01,2023-02-10,298.99
2022-05-01,2023-02-10,291.268
2022-02-01,2023-02-10,284.61
2021-11-01,2023-02-10,278.711
2022-04-01,2023-02-10,288.611
2021-07-01,2023-02-10,271.764
2022-08-01,2023-02-10,295.32
2022-11-01,2023-02-10,298.598
2022-01-01,2023-02-10,282.599
2021-12-01,2023-02-10,280.887
2022-06-01,2023-02-10,294.728
2021-09-01,2023-02-10,274.028
2022-09-01,2023-02-10,296.539
2022-03-01,2023-02-10,287.472
2021-08-01,2023-02-10,272.87
2022-07-01,2023-02-10,294.628
2021-10-01,2023-02-10,276.522
2022-10-01,2023-02-10,297.987
2020-05-01,2023-02-10,255.868
2021-05-01,2023-02-10,268.444
2019-06-01,2023-02-10,255.159
2019-05-01,2023-02-10,255.29
2019-04-01,2023-02-10,255.211
2019-03-01,2023-02-10,254.202
2019-02-01,2023-02-10,253.322
2019-01-01,2023-02-10,252.718
2018-12-01,2023-02-10,252.767
2018-11-01,2023-02-10,252.594
2019-07-01,2023-02-10,255.685
2018-10-01,2023-02-10,252.772
2018-08-01,2023-02-10,251.663
2018-07-01,2023-02-10,251.214
2018-06-01,2023-02-10,251.018
2018-05-01,2023-02-10,250.792
2018-03-01,2023-02-10,249.577
2018-02-01,2023-02-10,249.529
2018-01-01,2023-02-10,248.859
2021-06-01,2023-02-10,270.559
2018-09-01,2023-02-10,252.182
2019-08-01,2023-02-10,256.059
2018-04-01,2023-02-10,250.227
2019-10-01,2023-02-10,257.244
2021-02-01,2023-02-10,263.638
2021-01-01,2023-02-10,262.65
2019-09-01,2023-02-10,256.511
2020-12-01,2023-02-10,262.035
2020-11-01,2023-02-10,260.813
2020-10-01,2023-02-10,260.286
2020-09-01,2023-02-10,260.029
2020-08-01,2023-02-10,259.411
2021-03-01,2023-02-10,264.914
2020-06-01,2023-02-10,256.986
2020-07-01,2023-02-10,258.278
2019-12-01,2023-02-10,258.616
2020-01-01,2023-02-10,259.037
2020-02-01,2023-02-10,259.248
2019-11-01,2023-02-10,257.803
2020-04-01,2023-02-10,256.092
2021-04-01,2023-02-10,266.67
2020-03-01,2023-02-10,258.124
2023-01-01,2023-02-14,300.536
2023-02-01,2023-03-14,301.648
2023-03-01,2023-04-12,301.808
2023-04-01,2023-05-10,302.918
2023-05-01,2023-06-13,303.294
2023-06-01,2023-07-12,303.841
2023-07-01,2023-08-10,304.348
2023-08-01,2023-09-13,306.269
2023-09-01,2023-10-12,307.481
2023-10-01,2023-11-14,307.619
2023-11-01,2023-12-12,307.917
2017-02-01,2024-01-09,244.006
2017-03-01,2024-01-09,243.892
2017-04-01,2024-01-09,244.193
2017-05-01,2024-01-09,244.004
2017-06-01,2024-01-09,244.163
2017-07-01,2024-01-09,244.243
2017-08-01,2024-01-09,245.183
2017-09-01,2024-01-09,246.435
2017-10-01,2024-01-09,246.626
2017-11-01,2024-01-09,247.284
2017-12-01,2024-01-09,247.805
2018-01-01,2024-01-09,248.859
2018-02-01,2024-01-09,249.529
2018-03-01,2024-01-09,249.577
2018-04-01,2024-01-09,250.227
2018-05-01,2024-01-09,250.792
2018-06-01,2024-01-09,251.018
2018-07-01,2024-01-09,251.214
2018-08-01,2024-01-09,251.663
2018-09-01,2024-01-09,252.182
2018-10-01,2024-01-09,252.772
2018-11-01,2024-01-09,252.594
2018-12-01,2024-01-09,252.767
2019-01-01,2024-01-09,252.718
2019-02-01,2024-01-09,253.322
2017-01-01,2024-01-09,243.618
2019-03-01,2024-01-09,254.202
2016-12-01,2024-01-09,242.637
2016-10-01,2024-01-09,241.741
2014-09-01,2024-01-09,237.477
2014-10-01,2024-01-09,237.43
2014-11-01,2024-01-09,236.983
2014-12-01,2024-01-09,236.252
2015-01-01,2024-01-09,234.747
2015-02-01,2024-01-09,235.342
2015-03-01,2024-01-09,235.976
2015-04-01,2024-01-09,236.222
2015-05-01,2024-01-09,237.001
2015-06-01,2024-01-09,237.657
2015-07-01,2024-01-09,238.034
2015-08-01,2024-01-09,238.033
2015-09-01,2024-01-09,237.498
2015-10-01,2024-01-09,237.733
2015-11-01,2024-01-09,238.017
2015-12-01,2024-01-09,237.761
2016-01-01,2024-01-09,237.652
2016-02-01,2024-01-09,237.336
2016-03-01,2024-01-09,238.08
2016-04-01,2024-01-09,238.992
2016-05-01,2024-01-09,239.557
2016-06-01,2024-01-09,240.222
2016-07-01,2024-01-09,240.101
2016-08-01,2024-01-09,240.545
2016-09-01,2024-01-09,241.176
2016-11-01,2024-01-09,242.026
2014-08-01,2024-01-09,237.46
2019-04-01,2024-01-09,255.211
2019-06-01,2024-01-09,255.159
2021-12-01,2024-01-09,280.887
2022-01-01,2024-01-09,282.599
2022-02-01,2024-01-09,284.61
2022-03-01,2024-01-09,287.472
2022-04-01,2024-01-09,288.611
2022-05-01,2024-01-09,291.268
2022-06-01,2024-01-09,294.728
2022-07-01,2024-01-09,294.628
2022-08-01,2024-01-09,295.32
2022-09-01,2024-01-09,296.539
2022-10-01,2024-01-09,297.987
2022-11-01,2024-01-09,298.598
2022-12-01,2024-01-09,298.99
