date,realtime_start,value
2019-12-01,2021-01-08,0.7101
2019-11-01,2021-01-08,0.7105
2019-10-01,2021-01-08,0.7108
2019-09-01,2021-01-08,0.7098
2018-04-01,2021-01-08,0.4617
2019-08-01,2021-01-08,0.7101
2019-06-01,2021-01-08,0.7085
2019-05-01,2021-01-08,0.7094
2019-04-01,2021-01-08,0.7081
2019-03-01,2021-01-08,0.7053
2019-02-01,2021-01-08,0.7061
2019-01-01,2021-01-08,0.7053
2018-12-01,2021-01-08,0.7026
2018-11-01,2021-01-08,0.7017
2018-10-01,2021-01-08,0.7011
2018-09-01,2021-01-08,0.7012
2018-08-01,2021-01-08,0.6911
2018-07-01,2021-01-08,0.4545
2018-06-01,2021-01-08,0.4507
2019-07-01,2021-01-08,0.709
2015-08-01,2021-01-08,0.459
2015-07-01,2021-01-08,0.4549
2015-06-01,2021-01-08,0.4566
2015-05-01,2021-01-08,0.462
2015-04-01,2021-01-08,0.4574
2015-03-01,2021-01-08,0.4568
2015-02-01,2021-01-08,0.4511
2015-01-01,2021-01-08,0.4355
2014-12-01,2021-01-08,0.428
2014-11-01,2021-01-08,0.4325
2014-10-01,2021-01-08,0.4308
2014-09-01,2021-01-08,0.4319
2014-08-01,2021-01-08,0.4228
2014-07-01,2021-01-08,0.4283
2014-06-01,2021-01-08,0.4251
2014-05-01,2021-01-08,0.4233
2014-04-01,2021-01-08,0.422
2014-03-01,2021-01-08,0.4159
2014-02-01,2021-01-08,0.4197
2014-01-01,2021-01-08,0.4287
2020-11-01,2021-01-19,0.0537
2020-12-01,2021-01-19,0.05
2020-12-01,2021-03-10,0.0492
2021-01-01,2021-03-10,0.0494
2021-02-01,2021-04-14,0.0486
2021-04-01,2021-05-12,0.05
2021-03-01,2021-05-12,0.0486
2021-05-01,2021-06-10,0.0495
2021-04-01,2021-06-10,0.0486
2021-06-01,2021-07-13,0.0498
2021-07-01,2021-08-12,0.0506
2021-08-01,2021-09-15,0.0504
2021-09-01,2021-11-11,0.05
2021-10-01,2021-11-11,0.0502
2021-11-01,2021-12-10,0.0468
2021-12-01,2022-01-18,0.11
2021-12-01,2022-03-10,0.1141
2022-01-01,2022-03-10,0.1958
2022-02-01,2022-03-10,0.4199
2022-03-01,2022-04-14,0.5623
2022-04-01,2022-06-14,0.6906
2022-05-01,2022-06-14,0.9158
2022-06-01,2022-07-13,1.0767
2022-07-01,2022-08-10,1.1908
2022-08-01,2022-09-14,1.622
2022-09-01,2022-11-11,1.8569
2022-10-01,2022-11-11,2.1857
2022-11-01,2022-12-10,2.8599
2022-12-01,2023-02-13,3.1779
2023-02-01,2023-03-09,3.9021
2023-01-01,2023-03-09,3.4275
2023-03-01,2023-05-10,4.0031
2023-04-01,2023-05-10,4.1774
2023-05-01,2023-06-13,4.3528
2023-06-01,2023-07-07,4.5872
2023-07-01,2023-08-10,4.9302
2023-08-01,2023-09-09,5.1609
2023-09-01,2023-10-07,5.1854
2023-10-01,2023-11-10,5.1871
2023-11-01,2023-12-09,5.1875
2023-11-01,2024-01-09,5.1875
2020-11-01,2024-01-09,0.0537
2020-10-01,2024-01-09,0.0538
2020-09-01,2024-01-09,0.0547
2020-08-01,2024-01-09,0.0562
2020-07-01,2024-01-09,0.0599
2020-06-01,2024-01-09,0.0646
2020-05-01,2024-01-09,0.0674
2020-04-01,2024-01-09,0.0659
2020-03-01,2024-01-09,0.3192
2020-02-01,2024-01-09,0.7104
2020-01-01,2024-01-09,0.7113
2019-12-01,2024-01-09,0.7101
2019-11-01,2024-01-09,0.7105
2019-10-01,2024-01-09,0.7108
2020-12-01,2024-01-09,0.0492
2019-09-01,2024-01-09,0.7098
2019-07-01,2024-01-09,0.709
2019-06-01,2024-01-09,0.7085
2019-05-01,2024-01-09,0.7094
2019-04-01,2024-01-09,0.7081
2019-03-01,2024-01-09,0.7053
2019-02-01,2024-01-09,0.7061
2019-01-01,2024-01-09,0.7053
2018-12-01,2024-01-09,0.7026
2018-11-01,2024-01-09,0.7017
2018-10-01,2024-01-09,0.7011
2018-09-01,2024-01-09,0.7012
2018-08-01,2024-01-09,0.6911
2018-07-01,2024-01-09,0.4545
2018-06-01,2024-01-09,0.4507
2019-08-01,2024-01-09,0.7101
2021-01-01,2024-01-09,0.0494
2021-02-01,2024-01-09,0.0486
2021-03-01,2024-01-09,0.0486
2023-10-01,2024-01-09,5.1871
